a handful of,小撮；一把
intrinsic,本質的 ; 原來具有的
intrinsically,基本地
inundate,淹沒；泛濫
invade,侵入
invaluable,極有價值的
invariably,恆久地；不變地
invent,創造；發明
inventive,有創意的
inviting,吸引人的；誘人的
invoke,呼籲
irregularly,不規則地；不整齊地
irreversible,不可回復的 ; 永久的
irrevocable,最後的；不能改變的
irritable,煩躁的；易激怒的
irritating,煩惱的；激怒的
isolating,孤立的；隔離的
issue,流出；發行
issue,問題；爭論
intermediate,中間的
jeopardize,危及；危害
jettison,拋棄；放棄
join,連接；結合
joint,共同的；分享的
jointly,同時地 ; 共同地
judge,評價；鑑定
jurisdiction,管轄權；司法權
justification,理由
justify,辯護；證實
justly,公正地；正當地
juvenile,青少年的
juvenile,青少年　
keen,敏銳的；敏捷的
keenly,激烈地; 熱心地
keep,保持；儲存
keep pace with,並駕齊驅
key,主要的；關鍵的
kin,近親
knack,技巧；竅門
label,貼標籤；標明
laborious,費力的
lace,交織；交錯
lack,缺乏；缺少
laden,滿載的
landscape,風景；景色
lane,航道；路線
largely,大量地；主要地
last,持續；持久
lasting,持久的；持續的
lateral,側面的
launch,發射；投擲
lavishly,奢華地
leading,主要的；主角的
leap,跳躍；躍過
lease,出租；租用
leftover,剩餘的
legacy,遺產 ; 遺贈
legally,合法地；法律上
legend,傳說 ; 故事
legitimate,合法的；合理的
leisure,空閒的；閒暇的
leisurely,從容的；有規律的
length,長度；距離
lenient,寬大的；寬容的
lessen,減少；減輕
lethal,致命的
liability,責任
liberally,隨意地；寬容地
liberate,釋放；放出
lie,位於
likelihood,可能性
likely,有希望的；恰當的
likeness,相象；類似
likewise,類似地
limit,限定；限制
link,連結
liquid,液體；流體
literacy,文化水準；讀寫能力
load,重擔；負荷
locale,場所
locality,地方；所在地
locally,當地；本地
locate,定位；探出
locomotion,運動；移動
lodge,留存；放置
lodging,寄宿處；住所
look after,照料；照顧
look over,檢查；察看
loophole,漏洞
loot,掠奪；洗劫
lower,減低；減弱
lucidly,清楚地；明白地
lucrative,有利的
lucratively,有利地；賺錢地
ludicrously,荒唐地；滑稽地
lukewarm,不熱情的；微溫的
lumber,木料；木材
luminous,發光的；閃亮的
lure,吸引；引誘
lush,蒼翠的
luster,光澤；光彩
lustrous,有光澤的；光亮的
magnify,放大；強化
magnitude,程度
mainly,主要地；基本上
maintain,維持；堅持
majesty,威嚴；尊嚴
major,主要的；大型的
make up,構成；組成
make up for,補償；彌補
make up of,構成；組成
makeup,構造；組成
mammal,哺乳動物
mammoth,龐大的；巨大的
mandated,要求
maneuver,動作；花招
manifest,表現
manipulated,操弄
mankind,人類
manually,人工地；手工地
mar,損壞；毀壞
march,遊行；行進
margin,邊；邊緣
marginally,邊緣地；稍微地
marine,海生的；海洋的
marked,明顯的；顯著的
markedly,明顯地；顯著地
market,出售；銷售
marvel,奇跡；傑作
mask,遮掩；遮蔽
massive,巨大的；大量的
masterpiece,傑作；名作
match,相等 ; 符合
matching,相同的；匹配的
matchless,無敵的；無比的
mate,交配；繁殖
material,物質；原料
mature,成熟的
meager,貧乏的；不足的
mean,平均值 ; 算術平均數
means,方法(單數名詞)
mechanism,裝置；機構
mechanism for,方法　
meet,滿足；符合
melancholy,憂郁的；消沈的
melody,旋律；主調
memo,備忘錄；變簽
mend,修復；改善
merchandise,商品；貨品
merely,僅僅；不過
merge,合併；兼並
merit,值得
merit,優點；長處
methodically,有規律地；有條理地
meticulously,小心地
metropolitan,大城市的；大都會的
midst,處於；在．．．之中
migrate,遷移；移居
mildly,溫和地；緩和地
millennia,千年期；一千年
mimic,模仿；摹似
minimal,最低程度的；最少量的
minimum,最低限度；最少量
minuscule,很小的；微小的
minute,微小的；細微的 (重音在第二音節)
miraculously,非凡地；奇跡般地
mirror,反映；映出
miscellaneous,種種的 ; 多方面的
misleading,誤導的
misrepresent,歪曲；誤解
mistakenly,錯誤地；誤解地
mitigate,減少 ; 減輕
mix up,搞混；混淆
mock,嘲弄；嘲笑
mode,模式；手段
model,模範
modest,適度的 ; 樸素的
modification,修改；變更
modify,修改；變化
modulate,調整;調控
moist,潮濕的；濕潤的
mold,捏成；塑造
molten,熔化的
monitor,檢查；監視
monopolize,獨佔；佔優勢
have a monopoly on,獨佔
monotonous,單調的；不變的
monumental,不朽的；非凡的
moral,寓言的教訓
morale,士氣；信心
moreover,此外
motif,圖案；花紋
motion,運動；移動
motivation,動機；目的
motive,動機；原因
mount,增長；上升
mournful,悲哀的；淒慘的
mundane,世俗的；普通的
mural,壁畫
murmur,咕噥；私下抱怨
mutually,共同地；彼此地
myriad,許多的；無數的
myth,神話；傳奇
mythical,虛構的；想像的
naked,肉眼的；赤裸的
narrator,講述者；敘述者
narrow,狹窄的；狹小的
nearly,幾乎；大約
negligible,可忽視的；微不足道的
neighboring,鄰近的；附近的
nevertheless,然而；仍然
no wonder,毫無疑問的
noise,喧鬧聲；嘈雜聲
noisy,喧鬧的；嘈雜的
norm,標準
normal,標準的；正常的
normally,常規地；正常地
notable,著名的；顯著的
noted,著名的；聞名的
note,注意到
noteworthy,顯著的；值得注意的
noticeably,顯著地；明顯地
notify,通知；報告
notion,概念；理念
notwithstanding,儘管
nourish,滋養；養育
novel,奇異的；新奇的
novelty,新奇的事物
no wonder,毫無疑問的
now and then,偶然地
noxious,有害的；有毒的
numerous,許多的；甚多的
nutritious,營養的；滋養的
obediently,服從地；順從地
obese,肥胖的；肥大的
object,目的；目標
objective,客觀的
obligated,有義務去做的
obligation,義務
obliged,被迫的
oblivious,不在意的；不注意的
obscure,掩蔽；隱藏
obscure,不清楚的；不著名的
observe,觀察；看到
obsolete,過時的；作廢的
obstacle,障礙；妨礙
obstinate,固執的；頑強的
obstruct,阻塞；堵塞
obstruction,障礙
obtain,獲得；取得
obvious,明顯的；顯而易見的
obviously,明顯地；顯然地
occasional,偶然的
occasionally,偶然地
occur,存在；出現；發生
odds,爭執；不一致
the odds of,可能性
off and on,不時地；斷斷續續地
officially,正式地；官方地
offset,彌補 ; 補償
offspring,後代；幼子
often,常常；經常
on balance,總的來說
on the whole,整體上；大體上
once,曾；曾經
once in a while,間或；偶爾
oncoming,即將到來的
onset,開始
opaque,不透明的 ; 晦暗的
operate,運作
opportunity,機會；時機
opposed to,反對的；反抗的
optimal,最佳的
opulence,富裕；富饒
oral,口頭的；口述的
orally,口頭地；口述地
orbit,環行；環繞
organize,組織；安排
orientate,確定方位
ornamental,裝飾的；裝飾用的
ornamented,裝飾的
ornate,華麗的；絢麗的
otherwise,否則；不然
ought to,應當；應該
outline,總結；概括
outlying,遠外的；邊遠的
output,產量；產品
outrun,超過；勝過
outskirts,郊區；郊外
outspoken,坦率的；直言的
outstanding,傑出的；顯著的
outweigh,超越
overall,總的；全部的
overcome,克服；戰勝
overestimated,高估
overlap with,重疊
overseas,國外；海外
oversee,督導
oversight,疏忽；失察
overtake,趕上，超越
overtly,公開地；明顯地
overturn,推翻；顛覆
overwhelm,超越
overwhelmed,數量過於龐大的
owing to,由於；因為
pace,步伐 ; 速度
pale,蒼白的；淺色的
paradigm,模範 ; 範例
paradox,矛盾
paradoxical,自相矛盾的；反論的
parch,烤焦
parallel,類似點；類似處
particular,特別的；個別的
particularly,特別地；尤其是
passion,激情；偏好
patch,片；塊
path,路線；軌道
pathway,途徑；模式
patron,主顧；顧客
pay tribute to,尊敬；稱揚
peak,最高的；尖峰的
peculiar,奇特的 ; 獨特的
penetrate,穿透；透過
penetrating,刺鼻的；彌漫的
per capita,每人；平均
perceive,察覺; 感知
percentage,比例；比率
perceptible,可察覺的；可見的
perceptive,敏銳的；有洞察力的
perfected,使臻於完美的
perform,執行；履行
performer,作秀者；演奏者
perhaps,也許；可能
perilous,危險的；冒險的
perimeter,周邊；周遭
period,時期；時代
periodic,規律的
periphery,外圍
permeate,穿過；滲透
permission,允許；同意
permissive,容許的；隨意的
permit,允許；許可
perpetuate,使永存 ' 使不朽
perpetually,不斷地；持久地
perplexed,困惑的
perseverance,堅忍；毅力
persist,持續
persisted,持續的
persistent,持久的
persistently,持久地；固執地
perspective,觀點
persuade,說服
persuasive,有說服力的
pertain to,相關；關於
pertinent,恰當的；貼切的
peruse,精讀；細閱
pesticide,殺蟲劑
phase,階段；時期
phenomenon,事件(單數名詞)
phenomena,現象；事件(複數名詞)
phenomenally,非凡地；難以置信地
picture,想像
piecemeal,零碎的；零碎地
pinnacle,頂峰 ; 高點
pinpoint,精確定位；準確定位
pioneer,先驅者；開拓者
pioneering,先驅的；開拓的
placid,平靜的；寧靜的
plague,煩擾；折磨
plainly,清楚地；明顯地
plausible,可能的；大概的
pleasant,愉快的；愜意的
pledge,誓言
pleasing,使人愉快的；令人喜愛的
plentiful,豐富的；有余的
plot,標繪；繪圖
plunge,投入，陷入
polish,磨光；擦亮
poll,民意測驗；民意調查
ponder,沈思；默想
pool,貯存處；容器
poor,不良的；粗劣的
poorly,不足地；缺乏地
popular,流行的；受歡迎的
porcelain,瓷；瓷器
pore,毛孔；細孔
portion,部分；一份
portrait,人像；肖像
pose,呈現；顯示
possess,擁有；具有
postulate,假設
potent,有效的；烈性的
potential,潛在的；可能的
potentially,可能地；潛在地
poverty,貧窮；貧乏
practical,實用的；可行的
prairie,大草原
precarious,不穩定的
precede,居先；先於
take precedence over,更優先於
precedent,先例
precious,珍貴的 ; 貴重的
precipitate,促成；引發
precipitation,下雨 ; 降水
precipitous,陡峭的；險峻的
precise,準確的；精確的
precisely,精確地
precision,精確；精確性
preclude,預先排除; 防礙
predator,掠食者
predicament,困境；尷尬處境
predict,預示；預告
prediction,預報；預言
predominant,主要的；突出的
predominantly,主要地；突出地
preeminent,卓越的
preeminence,卓越；突出
preface,序言；序文
prefer,偏好；喜歡
prehistoric,史前的；久遠的
preliminary,最初的；原始的
premature,早熟的 ; 未成熟的
premise,前提；假設
preoccupation,關注點
preposterous,荒謬的；反常的
prerequisite,必要條件 ; 先修課程
prescribe,規定；支配
present,呈現；顯示 (重音在第二音節)
presently,現下；目前
preservation,保護；防護
preserve,儲存；維持
preside,負責；統轄
pressing,急迫的；緊急的
prestige,威信; 威望; 名氣
prestigious,有聲望的；有威信的
presumably,大概
prevail,盛行；流行
prevailed,成功，統治
prevailing,盛行的；流行的
prevalent,流行的；普遍的
prevent,制止；阻止
previously,以前；從前
prey,被捕食動物；犧牲品
primarily,主要地；基本上
primary,基本的；初步的
primeval,原始時代的
principal,主要的；首要的
principle,原理；原則
prior,在先；居前
prior to,在先；居前
pristine,原始的；初期的
private,私人的；私有的
prize,珍視；重視
prized,貴重的
probable,可能的；大概的
probe,探察
procure,獲得；取得
prodigious,巨大的; 非凡的
produce,產物；產品 (重音在第一音節)
produce,生產；製造 (重音在第二音節)
product,產品；產物
professional,專業的
proficiency,熟練；精通
profoundly,深深地；萬分地
profuse,豐富的；有余的
profusion,豐富；大量
progressive,漸近的
progressively,逐漸地
prohibitively,禁止性地；有阻礙地
project,突出；凸出 (重音在第二音節)
project,項目；工程 (重音在第一音節)
projections,預測
proliferate,增殖；增生
proliferation,增加
prolific,多產的；成果豐碩的
prolonged,持續久的；長時期的
prominent,顯著的；卓越的
promote,促進
prompt,準時的；迅速的
prompt,促使；激勵
promptly,迅速地；立刻地
pronounced,重要的
pronouncement,聲明
propagate,使繁衍: 傳播
propel,推進；推展
proper,適當的；合適的
property,性質
propogate,散播
proponent,支援者
proportion,比例
propose,提議
prospect,預期 ; 期望
prospector,投機客
prospective,未來的；潛在的
prosper,成功 ; 發達
prosperity,昌盛；繁榮
prosperous,富裕的
prototype,原型；範例
protrude,突出；伸出
prove,證實；確認
provide,供應；提供
provided,倘若
provision,規定；條款
provocation,激怒；刺激
provoke,誘發；激起
proximity,接近；附近
pump,抽（液體）；抽動
puncture,刺穿；刺破
pungent,刺激的；辛辣的
pure,純淨的；完美的
purely,全然地；僅僅地
purify,淨化；精練
pursue,追捕；從事
pursuit,追求；尋求
put off,延期；延遲
put up,提供；債款
put up with,容忍；忍受
puzzle,難題；謎　使費解；使困惑
puzzling,使人費解的；令人困惑的
quantify,衡量
quantity,數；數量
quarantine,隔離；檢疫
quarter,四分之一；四等分
quarterly,季度地；按季度
quest,尋找；探索
quite,相當；頗為
radiant,發光的；輻射的
radically,根本地；截然地
radically,偏激地
rage,憤怒
raid,襲擊；侵略
raise,飼養；養育
ramification,後果
random,任意的；隨機的
rank,銜，官階
radical,極端地
rapidly,迅速地；快捷地
rapport,密切關係
rare,稀有的；罕見的
rarely,很少；難得
rather,相反；相反地
rather,相當；頗
rather than,而不是
ratify,同意；批准
ratio,比例
rational,理性的 ；符合邏輯的
raucous,喧鬧的；嘈雜的
reach,達成；取得
react,回應；適應
readily,容易地；很快地；樂意地
realization,認識；意識
realm,領域
reap,斬獲；接受
rear,培養；飼養
reasonably,合理地；經濟地
rebate,折扣；回扣
rebound,復原；復興
recall,記得
receive,接受；接收
reckless,不負責任的
recklessly,鹵莽地；粗心地
recognition,賞識；關注
recognize,承認；辨認
recognized,被認可的
recollection,記憶；回憶
recommend,推薦
reconstruct,重建
record,記錄；記載 (重音在第二音節)
recorded,已紀錄的
recount,敘述；講述
recover,回收；尋回
recruit,徵募；補充
rectify,改造；修正
recur,重現；重複
recycle,回收；反覆使用
readily,敏捷地
reduce,減少
redundancy,重複
refine,改良
reflect,反映；顯示
reform,改善；改革；改良
refreshing,清新的；清爽的
regarded,被視為
regardless of,罔顧；不管
regimes,政府 ; 政權
region,地區；區域
regularly,有規律地；慣常地
regulate,調節；控制
reign,統治
reimburse,償還；補償
reinforce,加強；強化
rekindled,重新燃起的
relate,相關；關聯 (重音在第二音節)
relative,相關的；相對的 (重音在第一音節)
relatively,相對地；比較地
release,釋放；發出
relentless,無情的 (甚麼狀況都不止息的)
reliable,可靠的
reliably,可靠地；可信地
reliance,依靠
relics,遺物; 遺跡
reluctant,不情願的；勉強的
reluctantly,不情願地；勉強地
rely on,依靠
remain,維持；保持
remark,評論；議論
remarkable,異常的；非凡的
remedy,醫治；治愈
remember,回憶；記起
remnants,殘餘；殘跡
remote,遙遠的
render,提供；履行
renowned,著名的；有名的
repeatedly,反覆地；多次地
repel,排斥；對抗
replace,取代
replenish,補充
representative,典型的
reproduce,複製 ; 繁殖
require,要求；堅持
rescue,營救；挽救
research,研究；探索
resemble,相似；類似
reservoir,貯藏所；蓄水池
reshape,改變形式；改變性質
reside on,居住；生存
resident,居民
residual,殘餘地；剩餘地
resign,放棄
resist,經受住；抵擋住
resistance,反對
resolute,堅決的；果斷的
resolutely,堅決地；果斷地
resolve,決議；解決
resonant,洪亮的；共鳴的
resource,資源；才能
respect,方面；側面
respectively,個別地
respiration,呼吸
responsibility,責任；任務
restore,恢復原狀
restrict,限制；約束
restrictions,限制
restrictive,限制性；約束性
resume,繼續；恢復 (重音在第二音節)
retain,保留；維持
retarding,阻礙的 ; 妨礙的
retreat from,退出；退卻
retrieve,取回；找回
revolutionized,根本上地改變
reveal,透露 ; 顯露
revere,尊敬
reverence,尊敬；敬仰 (重音在第一音節)
reversible,可以逆轉的
revert to,恢復；複歸
revise,修正；改造
revoke,吊銷；取消
revolutionize,變革；徹底改變
rewarding,有益的
rhythm,節奏；格調
rich,富饒的
ridicule,取笑；嘲笑
rigid,固定的
rigorous,嚴格的
ripe,成熟的
rise,出現；浮現
risk,風險；危險
risky,危險的；冒險的
ritual,儀式；典禮
rival,競爭
roam,漫遊；閒逛
robust,強健的；堅強的
root,n.起源；v.根源於
roster,名單 ; 清單
rotate,輪流；更迭
rotting,腐爛
rough,粗糙的；不光滑的
roughly,粗略地；大致上
routinely,常規地；慣常地
rudimentary,原始的；簡單的
ruefully,沮喪的；悲觀的
rugged,崎嶇不平的
ruin,毀滅；毀壞
rule out,取消；排除
run,經營；管理
run out,用完；耗光
runoff,流水
rupture,破裂；裂開
rural,農村的；田園的
rushing,急流的
ruthlessly,無情地；冷酷地
safeguard,保障；保護
safety,安全；保障
saline,鹽的；鹹的
salute,問候；行禮
salvage,打撈；搶救；回收廢物
sanction,批准；同意
sap,(樹木的)汁液
sanitation,衛生；健康狀態
saturate,浸透；飽和
save,除．．．之外
scale,測量 (v.) ; 尺寸 (n.)
scan,審視；瀏覽
scanty,僅有的
scarce,稀缺的；珍貴的
scarcely,稀缺；珍貴
scarcity,短缺
scatter,散開
scenario,(劇本的)情節
scene,場景；現場
scenic,天然景色；景色優美的
segregated,隔離的
scheme,陰謀；策劃
scholarly,學人的；好學的
scope,範圍；視野
score,樂譜
scrupulously,謹慎地；小心地
scrutiny,檢查；監視
scurrying,急趕
secession,脫離；退出
secluded,偏僻的；遙遠的；隔絕的
secrete,分泌出
secure,獲得；取得
secure,安全的
sedentary,不移棲的
seek,尋求；尋找；試圖；企圖
seem,似乎；好像
seep,滲流
seemingly,表面上；外觀上
segment,部分；片段
seize,抓住；掌握
seldom,很少；幾乎不
select,選拔；挑選
selection,待選物；多種類
self-esteem,自尊；自負
self-reliant,自力更生的
sensation,感覺；知覺
sensational,轟動的；驚人的
sense,感覺；領悟
sensitive,敏感的；微妙的
sentiment,意見；觀點
sentimental,傷感的；多愁善感的
separate,單獨的；分離的
sequence,順序；系列
sequential,按照次序的
set,確定；安置
set it apart,區分;區別
set off,出發；開始
set up,設立；安排
setting,背景；環境
settle,決定；解決
settle,定居；安家
settled,固定的
settlement,村落；新拓居地
sever,切斷 ; 遮斷
severe,猛烈的；嚴酷的 
severity,嚴酷
sharp,清晰的；急劇的
sharply,急劇地；陡峭地
shed light on,闡明；解釋
sheen,光澤；光輝
shelter,掩蔽；遮蔽
shield,保護；避開
shift,改變；變動
shock,震動；震怒
show,顯示；表明
shrink,收縮；縮小
shrub,灌木；灌木叢
shun,迴避；躲開
shy,膽怯的；羞怯的
side effect,副作用
significance,重要性
significant,有重要意義的 ; 明顯可觀的
similar,相似的；類似的
simultaneously,同時發生；同時進行
single,單個的；專一的
single-handedly,單獨地；孤立地
site,地點；場所
skeptical,懷疑的
skepticism,懷疑主義；懷疑態度
sketch,速寫；素描
sketch,概略；梗概
skill,技能；技巧
skilled,熟練的；擅長的
skip,不參加；缺席
skyrocket,猛漲，突增
slender,細長的；纖弱的
slight,微小的；細微的
slightly,輕微；少量
slim,苗條的；細長的
sluggish,遲鈍的；緩慢的
smart,聰明的；機敏的
smudge,弄髒；塗汙
snap,折斷；拉斷
soak,浸泡在水裡
soar,向上竄升
society,社會
sole,唯一的；單獨的
solemn,嚴肅的；莊重的
solemnly,嚴肅地；憂郁地
solidarity,團結
solidify,鞏固；保障
solitary,單獨的；獨居的
solitude,孤獨；寂寞
sophisticated,複雜的
sort,種類；類別
sort out,挑選出
sour,酸味的；酸腐的
source,根源；水源
sovereign,主權的；獨立的
sow,播種；種植
span,橫跨；跨越
spanning,包含
spark,激發；發動
sparse,稀疏的
sparsely,稀少地；稀疏地
spawn,醞釀；引起
specimen,樣本
speck,微粒；小點
speculate,推測；假設
spell,闡明；講清
spin,旋轉；疾馳
spine,脊骨；脊柱
spiny,多刺的；刺狀的
splendor,光輝；光彩
splice,拼接；交接
split,劈開；切開
spoil,變壞；腐敗
spontaneous,自生的
sporadic,偶然的 ; 斷斷續續的
spot,看出；發現
spot,場所；地點
spread,傳開；蔓延
spring up,出現；發生
spur,刺激；激勵
squash,擠壓；碾壓
squirt,噴洒；噴出
stable,穩定的；不變的
stage,時期；階段
staggering,壓倒的；壓倒之勢的
stagnation,停滯不前
stain,褪色；變色
stalk,主莖；花梗
stamina,耐力；精力
stand,v.忍受；經受n.立場；態度
stand for,代表；象徵
standard,規範的
standard,標準
standardized,標準的；統一的
standing,停滯的；不流動的
standpoint,觀點；立場
staple,大宗物品；流行的東西
startled,驚人的
startling,驚人的
stately,雄偉的；堂皇的
static,靜止的；不動的
stationary,不變的；靜止的
steadfast,堅定的；不變的
steadfastly,堅定地；堅信地
steadily,持續地；穩定地
stem from,起源；導源
stern,嚴厲的；苛刻的
stick to,黏住；釘住
stiff,僵硬的；剛強的
stiffness,僵硬；剛強
still,靜止的；不動的
stimulate,激發；促進
stink,發惡臭
stipulated,規定的 ；要求的
stir,激起；鼓動
store,貯存
straightforward,簡單明瞭的
strain,緊張；勞累
strain,拉緊，重壓
strand,一股；一縷
strange,陌生的；不熟悉的
strategy,戰略；策略
stratum,地層；階層 (複數是strata)
stray,迷路 ; 失散
streamlined,流線型的
strenuous,劇烈的；艱苦的
strenuously,強烈地；激烈地
stress,強調
stress,壓力；緊張
stretch,伸展；鋪開　拉直；拉長
stretched out,伸長的
strict,嚴密的；精確的
strictly,嚴格地
strike,v.打火；碰撞；接觸　n.罷工
striking,顯著的；驚人的
strikingly,顯著地；驚人地
stringent,嚴格的；嚴厲的
strongly,強烈地；極力地
struggle,競爭
stubborn,執拗的；固執的
stumble,絆倒；跌倒
stun,使暈眩；使吃驚
stunt,阻礙；妨礙
subdue,使服從 ; 克服
subject to,易受影響的；遭受影響的
submarine,水下的；海底的
submerge,浸沒；淹沒
submit,呈送；提交
subsequent,後來的
subsequently,隨後；後來
subside,平息；平靜
subsidiary,輔助機構；附屬機構
subsidize,資助；贊助
subsistence,生存能力
subsidy,生存 ; 存活
substance,物質
substantial,堅固的；結實的
substantiated,證實的
substitute,v.代替；n.替代物
substitute for,v.代替；n.替代物
subterranean,地下的
subtle,細微的
succeeding,接續的
successful,成功的；有成就的
successive,後續的
succinct,簡潔的；簡練的　
succumb,屈服；屈從
suddenly,突然地；意外地
sufficient,足夠的；充足的
suggest,提出；提議
suit,適合；適應
suitable,適宜的
sum,總數；總和
summit,頂點；極點
sumptuous,豪華的；奢侈的
supplant,取代；替代
supplement,補充品
supplement,補充，增加
supplemental,額外的
support,支援；支撐
supposedly,想像地；表面上
suppress,抑制；壓制
supremacy,至高無上；支配地位
supreme,最大的；極度的
sure,必然的；確定的
surge,浪潮；躍進
surge,急劇增加
surmise,推測；猜測
surpass,超越；勝過
surplus,剩餘的；額外的
surplus,盈餘
surround,包圍；環繞
survival,倖存；殘存
susceptible to,易受到襲擊的(影響的)
suspend,掛；懸掛
suspense,懸掛；意念
suspicious of,可疑的；多疑的
sustain,維持；繼續；遭受；蒙受
sustain,維持；維繫
sustenance,生計；食物
swarm,群集；湧進
sway,動搖；說服
sweat,出汗
swell,膨脹
swiftly,迅速地；敏捷地
swirl,旋轉；打旋
switch on,開啟
symmetrical,對稱的；勻稱的
symmetry,對稱；勻稱
symptom,徵兆；徵候
synthesis,綜合；合成
synthesize,綜合；結合
synthetic,人造的；合成的
synthetically,合成地；人造地
systematically,系統地；有序地
taboo,忌諱的；禁止的
tacitly,緘默的；默許的
tactic,戰術；策略
take into account,考慮 ; 重視
take off,起飛；離開
take place,出現；發生
tale,傳說；故事
tame,馴服；製服
tangible,實體的
tangled,纏結的；紊亂的
tantamount,相當於；相等於
tactic,戰術；策略
tap,開採
tardy,遲到的；遲的
task,工作；任務
taste,味道；味覺；愛好；興趣
tedious,使人厭煩的；冗長乏味的
teem with,充滿；富於
telling,有效的；有力的
temperate,適度的；溫和的；
tempting,誘人的
tenaciously,頑強地；不屈不撓地
tend,照顧；照料　趨向；傾向
tension,緊張
term,n.詞語；術語　v.稱作；叫做
term,n.詞語；術語　v.稱作；叫做
terminate,結束；終止
terrain,地域；地帶
terrestrial,陸上的；陸棲的
terrify,恐怖；驚嚇
terse,簡潔的；精練的
textile,紡織品；紡織原料
thanks to,由於；多虧
thatch,編織
thaw,融化；解凍
theme,題目；主題
thereby,由此；從而
therefore,因此；所以
think highly of,欽佩；羨慕
thorough,徹底的；完善的
threateningly,威脅地；恫嚇地
threshold,門檻
thrill,刺激；興奮
thrive,繁榮；興旺
thriving,繁榮的；興旺的
throughout,prep.始終　ad.到處
throw away,扔掉；放棄
thrust,突起；延伸
thus,於是 ; 因此
tidy,整齊的；整潔的
tier,（一）層；（一）排
till,耕耘 ; 翻土
timber,木材；木料
timid,膽怯的；怕人的
tiny,極小的；微小的
tiresome,令人厭倦的；使人疲勞的
tolerate,忍受；忍耐
topography,地勢 ; 地形
touching,動人的；感傷的
tough,堅韌的；頑強的
toxin,毒素
trace,痕跡；遺跡
trace,v.追蹤；聯繫　n.痕跡；遺跡
track,追蹤;偵測
trade,交換；交易
trade-off,妥協 ; 取捨
tradition,慣例；道統
trait,品性；特性
tranquil,安寧的；平靜的
tranquility,安寧；平靜
transform,改變
trap,抓住；止住
traumatic,創傷的
traverse,橫跨；穿過
treasure,珍藏；秘藏
tremendous,巨大的；驚人的
tremendously,巨大地；驚人地
trend,趨勢；趨向
tributary,支流
trigger,觸發；引起
trivial,微不足道的
troublesome,討厭的；厭煩的
truly,真正地；確實地
tumultuous,紛亂的
turbulent,洶湧的；狂暴的
turn down,拒絕；駁回
turn into,變成；成為
typical,典型的；有代表性的
typically,典型地；有代表性地
typify,代表，表現
ubiquitous,普遍存在的；無處不在的
ultimately,最終；終究
unattended,無人照管的；未被注意的
unbroken,未被中斷的；繼續不斷的
uncanny,不可思議的
unconsolidated,鬆散的
uncover,暴露；發掘
uncustomary,不普遍的；不平常的
undergo,經歷
undergoing,經歷　
underground,地下的；地面的
underlie,構成基礎
underlying,根本的；基礎的
underscore,強調
undertake,從事；進行
undisputed,無爭議的
undoubtedly,無疑地；肯定地
unemployed,失業的；未被僱佣的
unequivocally,明確地；不含糊地
unfavorable,負面的 ; 不受歡迎的
uniform,一致的；相同的
uniformly,一致地；始終如一地
unique,獨特的；無比的
universally,普遍地；一般地
unlike,不象；不同於
unlikely,不可能的；靠不住的
unmatched,無比的；無敵的
unprecedented,空前的
unpromising,不利的
unquestionably,毫無疑問地；無可非議地
unravel,解開；闡明
unrestrained,無控制的；無限制的
unrestricted,無限制的；自由的
unrivaled,無敵的；無比的
unsettling,令人困擾的
unskillfully,不熟練地；笨拙地
unstable,困擾的；不穩定的
unsubstantiated,未證實的；未核實的
unwieldy,笨拙的；不實用的
upgrade,改進；提升
upheaval,劇變；動盪
uphold,堅持；維持
upkeep,維修
upright,直立的；垂直的
upset,打擾；攪亂
upside-down,顛倒的
up-to-date,最近的；現代的
urge,極力主張；強烈要求
urged,催促，鼓勵
urgently,緊急地；急迫地
usually,通常地；慣常地
utilitarian,實用的
utter,說話；發聲
utterly,完全地；絕對地
vacant,空缺地；空虛地
vague,模糊的；不精確的;簡單的
valuable,寶貴的；有價值的
valued,寶貴的；珍貴的
variable,變量；原素
variation,變化；變動
various,不同的
vary,變化；改變
vast,巨大的；廣闊的
vehicle,遠載工具
vein,靜脈；血管
velocity,速度；速率
veneration,尊敬；崇拜
venom,毒液；毒藥
venomous,有毒的；有害的
ventilation,通風；通氣
venture,冒險；冒險行動
verdict,裁決；決定
verge,瀕臨
verify,證實；核實
versatile,多方適用的；多才多藝的
very closely,親密；密切
vessel,船；艦
vestige,遺跡；殘餘
vexing,困難的
via,透過；經由
viability,生存能力
viable,可行的
vibrant,有活力的；明亮的
vicinity,近處；近鄰
vie for,競爭；對抗
view,觀點；見解
vigorous,強力的 ; 積極的
vigorously,強有力地
virtual,幾乎
virtually,實際上　幾乎
vital,極其重要的；必不可少的
vitality,活力
vivid,鮮豔的；鮮明的
visible,可以看到的
vocal,有聲的；人聲的
vocation,行業
vogue,時髦；時尚
void,無效的；作廢的
volunteer,自願從事；自願提供
voyage,航行；航程
vulnerable,易受影響的
wage,工資；報酬
wane,衰退；沒落；減小；變弱
ward off,擋住；避開
warily,謹慎地；警惕地
warn,警戒；警告
warrior,戰士；鬥士
wave,浪潮；高潮
weaken,減弱；沖淡
wear away,磨損；消逝
wear out,損耗；磨損
weariness,疲乏；厭倦
weary,疲乏的；厭倦的
weave,編織；織編
wedge,嵌入；塞入
weight,重量；體重
weirdly,不可思議地；奇特地
well-being,福利；福祉
well-known,著名的；有名的
whether,是否
while,而；然而
whole,全部的；整個的
